description,total_score,rmsd
model-0.relaxed_0001,-306.733,3.744
model-0.relaxed_0002,-312.858,4.529
model-0.relaxed_0003,-315.203,3.868
model-0.relaxed_0004,-312.368,2.046
model-0.relaxed_0005,-287.966,5.047
model-0.relaxed_0006,-303.272,4.573
model-0.relaxed_0007,-288.096,3.172
model-0.relaxed_0008,-297.298,3.822
model-0.relaxed_0009,-302.007,3.947
model-0.relaxed_0010,-277.853,5.365
model-0.relaxed_0011,-299.422,4.752
model-0.relaxed_0012,-237.38,4.188
model-0.relaxed_0013,-313.1040000000001,3.699
model-0.relaxed_0014,-300.905,3.213
model-0.relaxed_0015,-305.841,3.411
model-0.relaxed_0016,-303.815,3.668
model-0.relaxed_0017,-310.534,3.626
model-0.relaxed_0018,-292.336,5.586
model-0.relaxed_0019,-303.396,4.397
model-0.relaxed_0020,-305.931,2.493
model-0.relaxed_0021,-308.441,4.941
model-0.relaxed_0022,-277.975,5.436
model-0.relaxed_0023,-301.713,2.948
model-0.relaxed_0024,-306.78,5.596
model-0.relaxed_0025,-303.876,2.622
model-0.relaxed_0026,-309.1,5.543
model-0.relaxed_0027,-306.202,2.469
model-0.relaxed_0028,-302.9290000000001,5.351
model-0.relaxed_0029,-306.721,3.915
model-0.relaxed_0030,-289.862,3.13
model-0.relaxed_0031,-319.291,4.016
model-0.relaxed_0032,-266.517,2.701
model-0.relaxed_0033,-298.857,5.246
model-0.relaxed_0034,-234.716,3.759
model-0.relaxed_0035,-306.637,4.773
model-0.relaxed_0036,-304.844,4.045
model-0.relaxed_0037,-304.034,5.076
model-0.relaxed_0038,-297.621,1.798
model-0.relaxed_0039,-302.308,4.287
model-0.relaxed_0040,-305.848,5.829
model-0.relaxed_0041,-291.241,3.045
model-0.relaxed_0042,-297.48,3.87
model-0.relaxed_0043,-305.126,4.278
model-0.relaxed_0044,-315.103,4.586
model-0.relaxed_0045,-289.495,3.313
model-0.relaxed_0046,-314.291,4.465
model-0.relaxed_0047,-310.511,4.788
model-0.relaxed_0048,-311.368,5.098
model-0.relaxed_0049,-281.457,3.059
model-0.relaxed_0050,-309.956,2.895
model-0.relaxed_0051,-277.691,3.746
model-0.relaxed_0052,-298.222,4.276
model-0.relaxed_0053,-305.281,4.509
model-0.relaxed_0054,-306.293,4.513
model-0.relaxed_0055,-305.622,4.799
model-0.relaxed_0056,-235.203,3.759
model-0.relaxed_0057,-294.135,4.224
model-0.relaxed_0058,-313.182,2.979
model-0.relaxed_0059,-302.208,4.489
model-0.relaxed_0060,-269.563,5.236
model-0.relaxed_0061,-299.926,3.218
model-0.relaxed_0062,-299.427,4.122
model-0.relaxed_0063,-312.242,3.915
model-0.relaxed_0064,-310.191,4.968
model-0.relaxed_0065,-286.867,3.538
model-0.relaxed_0066,-300.582,2.847
model-0.relaxed_0067,-181.901,3.323
model-0.relaxed_0068,-306.347,4.495
model-0.relaxed_0069,-294.503,4.627
model-0.relaxed_0070,-306.362,3.996
model-0.relaxed_0071,-308.221,4.599
model-0.relaxed_0072,-304.295,4.078
model-0.relaxed_0073,-273.876,2.75
model-0.relaxed_0074,-295.559,2.464
model-0.relaxed_0075,-283.567,2.669
model-0.relaxed_0076,-309.867,3.115
model-0.relaxed_0077,-288.4890000000001,3.518
model-0.relaxed_0078,-229.741,4.276
model-0.relaxed_0079,-229.848,3.016
model-0.relaxed_0080,-283.351,2.304
model-0.relaxed_0081,-305.582,6.381
model-0.relaxed_0082,-304.592,3.678
model-0.relaxed_0083,-311.216,3.856
model-0.relaxed_0084,-299.563,5.253
model-0.relaxed_0085,-296.278,4.657
model-0.relaxed_0086,-309.791,5.182
model-0.relaxed_0087,-304.819,4.561
model-0.relaxed_0088,-290.146,2.639
model-0.relaxed_0089,-300.093,5.41
model-0.relaxed_0090,-307.28,3.44
model-0.relaxed_0091,-307.204,3.077
model-0.relaxed_0092,-284.501,1.797
model-0.relaxed_0093,-273.062,5.652
model-0.relaxed_0094,-304.461,3.03
model-0.relaxed_0095,-301.968,4.651
model-0.relaxed_0096,-299.085,3.846
model-0.relaxed_0097,-307.185,1.876
model-0.relaxed_0098,-298.7940000000001,4.582
model-0.relaxed_0099,-304.9290000000001,3.986
model-0.relaxed_0100,-305.058,4.408
